question,labels,has_context
Nguyên nhân thống kinh trong Xét nghiệm máu,cause,1
"Khi đi khám phụ khoa, làm sao biết mình bị hội chứng buồng trứng đa nang?",cause,1
Dấu hiệu và cách chữa hội chứng buồng trứng đa nang khi đi khám phụ khoa?,cause,1
mãn kinh là gì khi Xét nghiệm nước tiểu,definition,1
Đi bộ thì có dấu hiệu đa kinh ra sao?,definition,1
"Mãn kinh là thế nào, có liên quan gì đến xét nghiệm nước tiểu không?",definition,1
Định nghĩa đa kinh và đối tượng dễ mắc trong Dinh dưỡng,definition|population,1
Đa kinh là gì và ai dễ mắc phải?,definition|population,1
Ai dễ bị đa kinh và đó là gì?,definition|population,1
Yếu tố nguy cơ viêm cổ tử cung trong Thiếu máu,riskfactor,1
Những yếu tố nào có thể gây viêm cổ tử cung trong trường hợp thiếu máu?,riskfactor,1
Thiếu máu có ảnh hưởng gì đến nguy cơ viêm cổ tử cung không?,riskfactor,1
Biến chứng đa nang buồng trứng trong Nghén,complication,1
"Trong Siêu âm thường , tiểu không kiểm soát có nguyên nhân và dấu hiệu gì",symptom|cause,1
Tiểu không kiểm soát có dấu hiệu gì khi siêu âm?,symptom|cause,1
Nguyên nhân gây tiểu không kiểm soát có thể thấy qua siêu âm được không?,symptom|cause,1
sinh non trong Thiếu máu,topic,1
Làm sao tránh viêm niệu đạo khi Sinh non,prevention,1
Triệu chứng và cách điều trị sẩy thai trong Vaccine HPV,symptom|treatment,1
"Trong quá trình tiêm vaccine HPV, những triệu chứng và cách điều trị sẩy thai cần lưu ý là gì?",symptom|treatment,1
"Vaccine HPV có thể gây ra những triệu chứng và biến chứng nào liên quan đến sẩy thai, và cách điều trị ra sao?",symptom|treatment,1
Định nghĩa vô kinh trong Thai kỳ,definition,1
Những rủi ro của nhiễm nấm âm đạo khi mang thai là gì?,definition,1
Vô kinh được định nghĩa như thế nào trong thời kỳ thai nghén?,definition,1
Ai có nguy cơ cao bị rong kinh,riskfactor,0
Định nghĩa viêm nội mạc tử cung và đối tượng dễ mắc trong Đi bộ,definition|population,1
Định nghĩa rong kinh trong Khám phụ khoa,definition,1
Rong kinh là gì khi khám phụ khoa?,definition,1
3b.Ị nghĩa của rong kinh trong khám phụ khoa là gì?,definition,1
Nguyên nhân nhiễm HPV trong Phẫu thuật,cause,1
Những yếu tố nào gây nên nhiễm HPV trong quá trình phẫu thuật?,cause,1
"Trong phẫu thuật, nguyên do nào dẫn đến việc nhiễm HPV?",cause,1
Dấu hiệu sinh non khi Siêu âm,symptom,1
Siêu âm có phát hiện được dấu hiệu sinh non không?,symptom,1
Dấu hiệu sinh non có thể thấy qua siêu âm?,symptom,1
Yếu tố nguy cơ viêm âm đạo trong Siêu âm nâng cao,riskfactor,1
Phân loại viêm đường tiết niệu khi Ba tháng đầu,subdisease,1
Phòng ngừa viêm niệu đạo trong Đi bộ,prevention,1
Đi bộ có giúp phòng ngừa viêm niệu đạo không?,prevention,1
Làm sao để phòng ngừa viêm niệu đạo khi đi bộ?,prevention,1
Phòng ngừa hội chứng buồng trứng đa nang trong Huyết áp cao,prevention,1
Cách phòng ngừa hội chứng buồng trứng đa nang khi bị huyết áp cao?,prevention,1
Hội chứng buồng trứng đa nang có thể phòng ngừa được khi bị huyết áp cao không?,prevention,1
Các thể rong kinh trong Phẫu thuật,subdisease,1
Rong kinh có những thể nào trong phẫu thuật?,subdisease,1
"Khi phẫu thuật, rong kinh có thể xảy ra như thế nào?",subdisease,1
Làm sao tránh thai lưu khi Khám phụ khoa,prevention,1
Có cách nào phòng thai lưu khi đi khám phụ khoa?,prevention,1
Tránh thai lưu thế nào khi kiểm tra phụ khoa?,prevention,1
Nguyên nhân rong kinh trong Xét nghiệm Pap smear,cause,1
Xét nghiệm Pap smear có thể phát hiện nguyên nhân của rong kinh không?,cause,1
Rong kinh có thể do nguyên nhân gì mà Xét nghiệm Pap phát hiện ra?,cause,1
Những điều cần biết về sẩy thai,detail,0
Cần biết những gì về sẩy thai?,detail,0
Những điều cần lưu ý khi gặp phải sẩy thai là gì?,detail,0
Phân loại sinh non cùng dấu hiệu nhận biết,subdisease|symptom,0
Nên làm gì khi có viêm nội mạc tử cung,advice,0
Cách xử lý tình trạng viêm nội mạc tử cung là gì?,advice,0
"Khi mắc viêm nội mạc tử cung, nên làm gì để điều trị?",advice,0
Định nghĩa đa nang buồng trứng trong Huyết áp cao,definition,1
Những yếu tố nào dễ gây sẩy thai?,definition,1
Nguyên nhân chính dẫn đến sẩy thai là gì?,definition,1
Phân loại viêm niệu đạo khi Siêu âm,subdisease,1
Siêu âm có giúp phân loại viêm niệu đạo không?,subdisease,1
"Khi siêu âm, viêm niệu đạo được phân loại như nào?",subdisease,1
nhiễm HPV khi Xét nghiệm Pap smear: dấu hiệu và cách chữa,symptom|treatment,1
Nguy cơ mắc lạc nội mạc tử cung khi Tiền sản giật,riskfactor,1
Tại sao có thai lưu khi Dậy thì,cause,1
Tại sao lại xảy ra thai lưu khi dậy thì?,cause,1
Có ai giải thích giúp mình tại sao dậy thì mà lại bị thai lưu không?,cause,1
Định nghĩa nhiễm nấm âm đạo trong Phẫu thuật,definition,1
Nhiễm nấm âm đạo là gì và có biểu hiện ra sao?,definition,1
Định nghĩa và triệu chứng của nhiễm nấm âm đạo?,definition,1
Tại sao có viêm nội mạc tử cung khi Siêu âm thường ,cause,1
Tại sao lại bị viêm nội mạc tử cung khi siêu âm?,cause,1
Viêm nội mạc tử cung có liên quan gì đến siêu âm không?,cause,1
Xử lý lạc nội mạc tử cung khi Mang thai,treatment,1
Lời khuyên khi bị sẩy thai trong Mang thai,advice,1
Tư vấn gì khi bị sẩy thai trong thai kỳ?,advice,1
Cần lưu ý gì khi bị sẩy thai trong quá trình mang thai?,advice,1
Bệnh u nang buồng trứng chia thành những thể nào,subdisease,0
Điều cần biết về ung thư buồng trứng khi Xét nghiệm nước tiểu,detail,1
"Khi cho con bú, người mẹ có thể gặp phải thống kinh không?",detail,1
Những điều cần lưu ý về ung thư buồng trứng khi xét nghiệm nước tiểu?,detail,1
Lời khuyên khi bị ung thư cổ tử cung trong Siêu âm thường ,advice,1
Điều cần biết về hội chứng buồng trứng đa nang khi Vaccine HPV,detail,1
Vaccine HPV có ảnh hưởng gì đến buồng trứng đa nang?,detail,1
Buồng trứng đa nang có liên quan gì đến vaccine HPV?,detail,1
Các thể lạc nội mạc tử cung trong Khám sức khỏe định kỳ,subdisease,1
"Khi khám sức khỏe định kỳ, có thể phát hiện lạc nội mạc tử cung không?",subdisease,1
Lạc nội mạc tử cung có thể được phát hiện khi đi khám sức khỏe định kỳ không?,subdisease,1
