article_id,chunk_id,root_name,root_type,chunk_text
1,4,Đau bụng kinh,disease,"Đau bụng kinh nói về khoảng thời gian đau lúc hành kinh, làm ảnh hưởng đến sinh hoạt hàng ngày. Được chia thành hai loại: Đau bụng kinh nguyên phát và thứ phát."
1,5,Đau bụng kinh nguyên phát,subdisease,"Trong đau bụng kinh nguyên phát, không có bệnh vùng chậu nào khác đi kèm. Đau bụng kinh nguyên phát chủ yếu xuất hiện ở thanh thiếu niên và trong chu kỳ rụng trứng. Cơn đau sẽ tự giảm khi người phụ nữ mang thai hoặc sau khi sinh con. Nó thường xuất hiện trong vòng hai năm sau khi có kinh nguyệt. Vấn đề này cũng có thể liên quan đến yếu tố gia đình như tiền sử mẹ hoặc chị gái cũng từng có triệu chứng tương tự. Đau bụng kinh nguyên phát thường xảy ra nhiều hơn ở phụ nữ sống ở môi trường xã hội sung túc đầy đủ. Cơn đau thường bắt đầu vài giờ trước hoặc ngay khi bắt đầu hành kinh và thường kéo dài vài giờ, có thể kéo dài cả ngày. Cơn đau co thắt ở vùng bụng dưới, có thể lan ra phía sau và mặt giữa của đùi. Điều trị bằng cách cải thiện sức khỏe thể chất và ổn định tâm lý, trấn an người bệnh. Trong thời kỳ kinh nguyệt, nên đại tiện khi cần và tránh táo bón. Nếu co thắt, dùng thuốc chống co thắt đơn giản có thể giúp giảm đau. Axit mefenamic 250 - 500 mg mỗi 8 tiếng, hoặc ibuprofen 400 mg mỗi 8 tiếng. Có thể loại trừ các bệnh vùng chậu bằng siêu âm."
1,6,Đau bụng kinh thứ phát,subdisease,"Đau bụng kinh thứ phát xảy ra có liên quan đến bệnh vùng chậu tiềm ẩn. Các nguyên nhân phổ biến có thể kể đến như nhiễm trùng vùng chậu mãn tính, lạc nội mạc tử cung vùng chậu, u xơ tử cung, đặt vòng tránh thai,… Bệnh nhân thường là những phụ nữ độ tuổi 30 và đã có con. Đặc trưng của cơn đau là đau âm ỉ, đau ở cả phía sau và phía trước, không lan đến vùng khác. Cơn đau này thường xảy ra 3 - 5 ngày trước kỳ kinh nguyệt và thuyên giảm khi bắt đầu ra máu. Điều trị tập trung vào nguyên nhân thay vì điều trị triệu chứng."
1,7,Vô kinh,disease,Vô kinh nghĩa là không có kinh nguyệt. Vô kinh có thể phân thành hai loại: Vô kinh sinh lý và vô kinh bệnh lý.
1,8,Chứng kinh nguyệt ẩn,subdisease,Xuất hiện tình trạng bong và chảy máu nội mạc tử cung định kỳ nhưng máu kinh không thể chảy ra ngoài âm đạo do một số tắc nghẽn đường sinh dục. Nguyên nhân tắc nghẽn phổ biến nhất là do màng trinh đã cản đường ra của máu kinh.
1,9,Vô kinh nguyên phát,subdisease,"Độ tuổi bình thường xuất hiện kinh nguyệt trễ nhất là 15 tuổi. Con gái đến 16 tuổi vẫn chưa có kinh thì không còn là chậm kinh nữa, mà được xác định là vô kinh nguyên phát. Nguyên nhân có thể là do sự phát triển bất thường như không có âm đạo, bất thường về nhiễm sắc thể như hội chứng Turner, rối loạn chức năng tuyến giáp và tuyến thượng thận. Việc chữa bệnh thành công là rất hạn chế và tùy thuộc vào từng trường hợp cụ thể."
1,10,Vô kinh thứ phát,subdisease,"Là tình trạng không xuất hiện kinh nguyệt từ 6 tháng trở lên, ở phụ nữ mà trước đó có kinh nguyệt bình thường. Một số nguyên nhân có thể kể đến là lao nội mạc tử cung, bệnh buồng trứng đa nang, u buồng trứng, căng thẳng, suy giáp, suy dinh dưỡng, tiểu đường,… Cách điều trị vấn đề này phụ thuộc theo từng nguyên nhân cụ thể."
1,11,Hội chứng buồng trứng đa nang,disease,"Hội chứng buồng trứng đa nang là vấn đề thường gặp nhất ở các cô gái trẻ hiện nay. “Thủ phạm” chính của hội chứng này đó là lối sống căng thẳng và ít vận động. Đây là một hội chứng được biểu hiện bằng các triệu chứng như vô kinh, rậm lông và béo phì liên quan đến việc buồng trứng có nhiều nang. Hội chứng này được đặc trưng bởi sự sản xuất quá mức hooc-môn testosterone, chủ yếu do buồng trứng. Buồng trứng to ra và xuất hiện nhiều nang (hơn 12 nang), với đường kính mỗi nang từ 2-9 mm. Bệnh nhân xuất hiện tình trạng béo phì ngày càng tăng, đặc biệt là béo vùng bụng, rối loạn kinh nguyệt, vô sinh, rậm lông và mụn trứng cá. Bệnh nhân cũng xuất hiện tình trạng đề kháng insulin và dễ mắc bệnh tiểu đường hơn. Cách điều trị tùy vào từng trường hợp cụ thể. Quan trọng là giảm cân, có chế độ ăn uống lành mạnh, yoga và tập thể dục. Nhiều loại thuốc có thể giúp làm giảm bớt triệu chứng. Và vô sinh cũng có thể được khắc phục bằng các phương pháp hỗ trợ sinh sản."
106,1,Hội chứng buồng trứng đa nang,Disease,"Các dấu hiệu và triệu chứng PCOS: Chu kỳ kinh nguyệt bất thường (vô kinh, hành kinh nhiều, không đều). Vô sinh – nguyên nhân phổ biến gây vô sinh nữ. Béo phì (80% phụ nữ PCOS). Rậm lông ở mặt, ngực, bụng, đùi (70% phụ nữ PCOS). Mụn trứng cá nặng hoặc kéo dài sau tuổi vị thành niên. Da nhờn. Xuất hiện mảng da dày, xạm (bệnh gai đen). Có nhiều nang nhỏ trên buồng trứng."
106,2,Hội chứng buồng trứng đa nang,Disease,"Nguyên nhân PCOS liên quan nhiều yếu tố: kháng insulin, tăng androgen, kinh nguyệt không đều. Kháng insulin khiến glucose máu tăng, nguy cơ tiểu đường, tăng insulin gây thèm ăn, mất cân bằng hormone và liên quan bệnh gai đen. Androgen cao gây ức chế rụng trứng, rậm lông, mụn trứng cá. Kinh nguyệt không đều gây vô sinh, phát triển nhiều nang nhỏ trên buồng trứng."
