entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Chảy máu âm đạo,topic,['28'],,,,thường gặp hơn ở ba tháng đầu; không phải lúc nào cũng nghiêm trọng; chảy máu cuối thai kỳ thường nguy hiểm hơn; máu báo thai khi trứng làm tổ; cổ tử cung dễ chảy máu sau quan hệ; Pap test; khám vùng chậu; viêm cổ tử cung; lộ tuyến cổ tử cung; bất thường bánh nhau; dấu hiệu chuyển dạ sinh non,,,,chảy máu âm đạo khi mang thai có thể xảy ra ở đầu hoặc cuối thai kỳ,,,
Thời điểm xét nghiệm mang gen bệnh,topic,['10'],,,,,Xét nghiệm chẩn đoán trẻ dị tật bẩm sinh,,,,,,
Tân sinh trong biểu mô âm hộ,disease,['101'],,ngứa; rát; da bất thường; sần sùi; trơn láng; trắng; nâu,phẫu thuật; kem bôi; laser,,,,,,,,
Hội chứng tam nhiễm sắc thể 18,disease,['47'],,chậm phát triển trí tuệ nặng,,,,,,,,,tử vong cho trẻ
Teo âm đạo,disease,['254'],,ngứa; rát; đau khi quan hệ; đau; nóng rát; đau nhức; đi tiểu thường xuyên; chảy máu; tiết dịch bất thường; khó chịu; khô; dễ nhiễm trùng; nứt; khô âm đạo; thành âm đạo mỏng đi; âm đạo khô; âm đạo viêm; rát âm đạo; tiết dịch âm đạo; ngứa bộ phận sinh dục; nóng rát khi đi tiểu; tiểu gấp; nhiễm trùng đường tiết niệu tái phát; tiểu không tự chủ; chảy máu nhẹ sau khi quan hệ; khó chịu khi giao hợp; giảm chất bôi trơn âm đạo khi quan hệ tình dục; thu ngắn và thắt chặt ống âm đạo; chảy máu âm đạo không rõ nguyên nhân; các mô âm đạo mỏng hơn; các mô âm đạo khô hơn; các mô âm đạo kém đàn hồi; các mô âm đạo dễ vỡ hơn,thuốc estrogen bôi da; thuốc estrogen đặt âm đạo; điều trị bằng estrogen (kem bôi hoặc thuốc uống); kết hợp dung dịch bôi trơn,giảm estrogen; hàm lượng estrogen trong cơ thể thấp; nồng độ estrogen giảm; sự giảm sản xuất estrogen; sự sụt giảm nồng độ estrogen,,,,không sinh qua đường âm đạo (phụ nữ chưa bao giờ sinh con qua đường âm đạo có nhiều khả năng phát triển các triệu chứng gsm hơn); không có hoạt động tình dục (hoạt động tình dục làm tăng lưu lượng máu và làm cho các mô âm đạo đàn hồi hơn),,không phải sống chung với sự khó chịu của gsm; hoạt động tình dục thường xuyên dù có hoặc không có bạn tình đều có thể giúp phụ nữ duy trì các mô âm đạo khỏe mạnh,tiểu gấp; nhiễm trùng âm đạo; tiểu nhiều; cảm giác nóng rát khi đi tiểu; nhiễm trùng đường tiết niệu; rò rỉ nước tiểu
Mãn kinh,topic,"['21', '5', '2']",,đau khi quan hệ; mệt mỏi; nhiễm trùng; đau khi quan hệ tình dục; khó chịu; dễ nhiễm trùng; khô âm đạo; nhiễm trùng đường tiết niệu tái phát; tiểu không tự chủ; đi tiểu đau; nhức đầu; mất ngủ; lo lắng; đổ mồ hôi; cảm giác nóng đột ngột; đổ mồ hôi đầm đìa; dễ nổi nóng; giảm ham muốn tình dục; thay đổi chu kỳ kinh nguyệt; ra huyết bất thường; niêm mạc tử cung không dày lên; chu kỳ không có kinh; triệu chứng nghiêm trọng do sụt giảm hormone đột ngột; cảm giác nóng bừng; da ửng đỏ; thiếu ngủ; gián đoạn giấc ngủ; niêm mạc âm đạo mỏng; niêm mạc âm đạo khô; ngứa rát; niệu đạo khô; viêm niệu đạo; ngứa niệu đạo; tiểu nhiều hơn; tăng nguy cơ nhiễm trùng bàng quang; khó đạt cực khoái; huyết âm đạo trở lại; trầm cảm,liệu pháp nội tiết tố tại chỗ; liệu pháp hormone có thể giảm triệu chứng mãn kinh; giảm bốc hỏa; giảm khô âm đạo; cải thiện đường tiết niệu; bảo vệ xương; bổ sung bisphosphonate; sử dụng serms; tiêm calcitonin; xịt mũi calcitonin; bổ sung hormone cận giáp; xem xét sử dụng liệu pháp hormone khi các biện pháp trên không hiệu quả; sử dụng một số loại thuốc chống trầm cảm cũng có thể giúp giảm các cơn bốc hỏa,buồng trứng giảm chức năng hoạt động; buồng trứng không sản xuất đủ estrogen; cắt bỏ cả hai buồng trứng; mất estrogen; tỷ lệ mất xương tăng; hormone giảm,Tiền mãn kinh,mãn kinh là thời kỳ người phụ nữ chấm dứt vĩnh viễn chu kỳ kinh nguyệt cho đến khi kết thúc cuộc đời; mãn kinh là thời kỳ mà người phụ nữ không còn xuất hiện kinh nguyệt nữa; mãn kinh là một phần của quá trình sinh sản,,thời kỳ mãn kinh được xác nhận sau khi ngừng kinh nguyệt trong mười hai tháng liên tục mà không có bất kỳ bệnh lý nào khác; các cơ quan sinh sản giảm kích thước sau thời kỳ mãn kinh; phụ nữ mất khoảng 3 - 5% khối lượng xương mỗi năm sau thời kỳ mãn kinh; liệu pháp nội tiết tố tại chỗ ít tác dụng phụ hơn; liệu pháp hooc-môn toàn thân được sử dụng tuân thủ nghiêm ngặt theo các khuyến cáo; các liệu pháp phải được thực hiện trong thời gian ngắn nhất có thể với liều lượng thấp nhất; liệu pháp hooc-môn toàn thân giúp tránh các tác dụng phụ nghiêm trọng như hình thành cục máu đông (huyết khối tĩnh mạch) và ung thư vú; những năm trước thời điểm này gọi là tiền mãn kinh; vẫn có thể mang thai cho đến hết một năm sau kỳ kinh cuối; cắt tử cung không gây mãn kinh trừ khi đồng thời cắt buồng trứng; estrogen thường kết hợp với progestin ở phụ nữ còn tử cung để giảm nguy cơ ung thư nội mạc tử cung; phụ nữ thường bước vào thời kỳ mãn kinh với nhiều cảm xúc lẫn lộn; thời kỳ mãn kinh không giống bất cứ những gì bạn từng cảm thấy trước đây; giai đoạn chuyển tiếp mãn kinh có thể kéo dài vài năm,,ngừng hút thuốc; hãy nói chuyện với bác sĩ sản phụ khoa về những gì bạn đang phải xảy ra để được tư vấn và đồng hành trong hành trình chăm sóc sức khỏe; mặc quần áo nhiều lớp; mang theo quạt cầm tay; sử dụng đồ uống lạnh; tránh các loại thực phẩm và đồ uống có thể kích hoạt các cơn bốc hỏa như rượu và cafein; giảm cân nếu bạn thừa cân; thiền cũng là phương pháp hiệu quả giúp bạn giảm cơn bốc hỏa; sử dụng chất dưỡng ẩm và bôi trơn âm đạo để làm dịu các cơn đau; cần nói chuyện với bác sĩ sản phụ khoa trước khi sử dụng các chất bổ sung nguồn gốc tự nhiên để điều trị các triệu chứng.; bạn vẫn nên khám phụ khoa hằng năm; khám sức khỏe hàng năm bao gồm tất cả các khía cạnh về sức khỏe sinh sản và tình dục của bạn; ngay cả phụ nữ đã cắt bỏ tử cung vẫn có thể cần sàng lọc; hầu hết phụ nữ có nguy cơ ung thư vú thấp có thể dừng chụp nhũ ảnh ở tuổi 75; hãy chia sẻ với mọi người để có thể nhận được sự giúp đỡ khi cần thiết,loãng xương; bệnh lý tim mạch; tăng nguy cơ gãy xương
Vòng âm đạo,topic,['19'],,buồn nôn; nhiễm khuẩn; đau ngực; đau đầu; nhức đầu; tăng cân; kích ứng âm đạo; khí hư; chảy máu giữa chu kỳ; ngứa âm đạo,,,,,,,,không cần cơ sở y tế đặt nhưng cần chỉ định bác sĩ; trong 7 ngày đầu nên dùng thêm bao cao su,
Xét nghiệm phát hiện người mang gen bệnh,topic,['10'],xét nghiệm người mang bệnh là một loại xét nghiệm sàng lọc nhằm xác định một người có mang gen gây rối loạn di truyền hay không,,,,,,,,,,
Ngừa thai khẩn cấp,topic,['20'],,mệt mỏi; buồn nôn; đau bụng; nôn; chóng mặt; rối loạn kinh nguyệt; đau ngực; nhức đầu; chuột rút; rong huyết; kinh sớm; kinh trễ,thuốc (viên uống sáng hôm sau); dụng cụ tử cung chứa đồng (iud); thuốc chỉ chứa progestin (levonorgestrel),,Ngừa thai khẩn cấp progestin; Ngừa thai khẩn cấp iud; Ngừa thai khẩn cấp ulipristal,ngừa thai khẩn cấp (hay còn gọi là ngừa thai sau giao hợp) là việc sử dụng một số phương pháp để ngăn ngừa mang thai ngoài ý muốn sau quan hệ tình dục không bảo vệ hoặc bảo vệ không đủ.,,who: hiệu quả 52–94%; hiệu quả 99%; có thể dùng lâu dài; hiệu quả trong vòng 120h,,ulipristal và yuzpe cần bác sĩ kê đơn; levonorgestrel có bán tại nhà thuốc; nên dùng biện pháp khác (bao cao su) cho đến kỳ kinh sau; không bắt buộc gặp bác sĩ sau khi dùng; nên gặp bác sĩ nếu trễ kinh để kiểm tra thai; có thể dùng nhiều lần trong cùng chu kỳ; không có tác dụng nếu đã mang thai; không gây harm cho thai nhi; cần đặt tại cơ sở y tế,
Bệnh động mạch vành,disease,['259'],,khó thở; đau thắt ngực; nhồi máu cơ tim,dùng thuốc để giúp kiểm soát bệnh; thuốc chẹn bêta; thuốc chẹn kênh canxi; thuốc chẹn kênh nitrat; uống aspirin liều thấp mỗi ngày; nong mạch; sử dụng một quả bóng nhỏ để đẩy và làm thông đoạn động mạch vành bị tắc; quả bóng được đưa vào trong động mạch ở cánh tay hoặc ở chân; một ống kim loại nhỏ gọi là stent có thể được đưa vào đoạn động mạch bị tắc để giữ chỗ ấy thông máu; phẫu thuật bắc cầu (bypass); phẫu thuật bắc cầu thường được thực hiện khi không thể nong mạch vành hoặc khi bác sĩ thấy đó là sự lựa chọn tốt hơn cho bạn; aspirin; nitrat; phẫu thuật bắc cầu,sự dày lên của lớp lót trong (nội mạc) động mạch vành; xơ vữa động mạch; mảng bám tạo thành từ mỡ tích tụ bên trong thành động mạch,,bệnh động mạch vành (còn gọi là bệnh tim thiếu máu cục bộ hay thiếu máu cơ tim) được gây ra bởi sự dày lên của lớp lót trong (nội mạc) động mạch vành,,bệnh động mạch vành có thể mất nhiều năm để tiến triển.; bạn có thể không nhận thấy bất kỳ triệu chứng nào của bệnh cho đến khi động mạch vành đủ hẹp.; hầu hết bệnh nhân không gặp tác dụng phụ do các loại thuốc này; hầu hết các bệnh nhân có kết quả phẫu thuật tốt; thường thì sau khi nong mạch vành vài ngày là bạn đã có thể trở lại hoạt động như hoặc thậm chí tốt hơn trước; phẫu thuật bắc cầu thường mất nhiều thời gian hơn để hồi phục (vài tuần hoặc vài tháng),,giảm nguy cơ tái phát nhồi máu cơ tim; bác sĩ sẽ hướng dẫn về những loại thuốc mà bạn nên dùng; bác sĩ sẽ giúp bạn quyết định phương pháp điều trị tốt nhất cho bạn; bạn có thể sống lâu hơn và cảm thấy khỏe hơn bằng cách hợp tác với bác sĩ điều trị; không hút thuốc lá; kiểm soát huyết áp; tập thể dục; việc thường xuyên tập thể dục có thể giúp tim khỏe hơn và giảm nguy cơ bị bệnh tim; tập thể dục cũng hữu ích nếu bạn bị cao huyết áp; hỏi bác sĩ về việc uống aspirin liều thấp mỗi ngày; hỏi bác sĩ về việc uống bổ sung vitamin; một số nghiên cứu đã cho thấy vitamin e có thể làm giảm nguy cơ bị nhồi máu cơ tim; các vitamin khác cũng có thể giúp chống lại bệnh động mạch vành; theo chế độ ăn lành mạnh; bổ sung thực phẩm ít cholesterol và chất béo bão hòa vào khẩu phần ăn vì cơ thể sẽ chuyển chất béo bão hòa thành cholesterol; hãy nói chuyện với bác sĩ về những loại thực phẩm bạn nên tránh; bác sĩ sẽ theo dõi tiến triển bệnh của bạn; bạn vẫn phải tiếp tục giữ lối sống lành mạnh để hỗ trợ việc điều trị,nhồi máu cơ tim
