question,labels,has_context
Triệu chứng của viêm âm đạo,symptom,0
Dấu hiệu viêm âm đạo,symptom,0
Biểu hiện khi mắc viêm âm đạo,symptom,0
Các dấu hiệu nhận biết viêm âm đạo,symptom,0
Triệu chứng đặc trưng của viêm âm đạo,symptom,0
Khi nào thì biết mình đang mắc viêm âm đạo,symptom,0
Làm sao nhận biết viêm âm đạo,symptom,0
viêm âm đạo có dấu hiệu ban đầu ra sao,symptom,0
Có triệu chứng tiềm ẩn nào của viêm âm đạo không,symptom,0
Triệu chứng của viêm âm đạo trong Mang thai,symptom,1
Dấu hiệu viêm âm đạo khi Mang thai,symptom,1
Triệu chứng của viêm âm đạo trong Thai kỳ,symptom,1
Dấu hiệu viêm âm đạo khi Thai kỳ,symptom,1
Triệu chứng của viêm âm đạo trong Ba tháng đầu,symptom,1
Dấu hiệu viêm âm đạo khi Ba tháng đầu,symptom,1
Triệu chứng của viêm âm đạo trong Ba tháng cuối,symptom,1
Dấu hiệu viêm âm đạo khi Ba tháng cuối,symptom,1
Triệu chứng của viêm âm đạo trong Nghén,symptom,1
Dấu hiệu viêm âm đạo khi Nghén,symptom,1
Triệu chứng của viêm âm đạo trong Tiểu đường thai kỳ,symptom,1
Dấu hiệu viêm âm đạo khi Tiểu đường thai kỳ,symptom,1
Triệu chứng của viêm âm đạo trong Đi bộ,symptom,1
Dấu hiệu viêm âm đạo khi Đi bộ,symptom,1
Triệu chứng của viêm âm đạo trong Siêu âm,symptom,1
Dấu hiệu viêm âm đạo khi Siêu âm,symptom,1
Triệu chứng của viêm âm đạo trong Yoga,symptom,1
Dấu hiệu viêm âm đạo khi Yoga,symptom,1
Triệu chứng của viêm âm đạo trong Xét nghiệm Pap smear,symptom,1
Dấu hiệu viêm âm đạo khi Xét nghiệm Pap smear,symptom,1
Triệu chứng của viêm âm đạo trong Sinh non,symptom,1
Dấu hiệu viêm âm đạo khi Sinh non,symptom,1
Triệu chứng của viêm âm đạo trong Cho con bú,symptom,1
Dấu hiệu viêm âm đạo khi Cho con bú,symptom,1
Triệu chứng của viêm âm đạo trong Khám phụ khoa,symptom,1
Dấu hiệu viêm âm đạo khi Khám phụ khoa,symptom,1
Triệu chứng của viêm âm đạo trong Dậy thì,symptom,1
Dấu hiệu viêm âm đạo khi Dậy thì,symptom,1
Triệu chứng của viêm âm đạo trong Nội tiết tố,symptom,1
Dấu hiệu viêm âm đạo khi Nội tiết tố,symptom,1
Triệu chứng của viêm âm đạo trong Xét nghiệm máu,symptom,1
Dấu hiệu viêm âm đạo khi Xét nghiệm máu,symptom,1
Triệu chứng của viêm âm đạo trong Xét nghiệm nước tiểu,symptom,1
Dấu hiệu viêm âm đạo khi Xét nghiệm nước tiểu,symptom,1
Triệu chứng của viêm âm đạo trong Phẫu thuật,symptom,1
Dấu hiệu viêm âm đạo khi Phẫu thuật,symptom,1
Triệu chứng của viêm âm đạo trong Dinh dưỡng,symptom,1
Dấu hiệu viêm âm đạo khi Dinh dưỡng,symptom,1
Triệu chứng của viêm âm đạo trong Tiền sản giật,symptom,1
Dấu hiệu viêm âm đạo khi Tiền sản giật,symptom,1
Triệu chứng của viêm âm đạo trong Huyết áp cao,symptom,1
Dấu hiệu viêm âm đạo khi Huyết áp cao,symptom,1
Triệu chứng của viêm âm đạo trong Thiếu máu,symptom,1
Dấu hiệu viêm âm đạo khi Thiếu máu,symptom,1
Triệu chứng của viêm âm đạo trong Vaccine HPV,symptom,1
Dấu hiệu viêm âm đạo khi Vaccine HPV,symptom,1
Triệu chứng của viêm âm đạo trong Khám sức khỏe định kỳ,symptom,1
Dấu hiệu viêm âm đạo khi Khám sức khỏe định kỳ,symptom,1
Triệu chứng của viêm âm đạo trong Siêu âm nâng cao,symptom,1
Dấu hiệu viêm âm đạo khi Siêu âm nâng cao,symptom,1
Triệu chứng của viêm âm đạo trong Siêu âm thường ,symptom,1
Dấu hiệu viêm âm đạo khi Siêu âm thường ,symptom,1
Triệu chứng của loạn khuẩn âm đạo,symptom,0
Dấu hiệu loạn khuẩn âm đạo,symptom,0
Biểu hiện khi mắc loạn khuẩn âm đạo,symptom,0
Các dấu hiệu nhận biết loạn khuẩn âm đạo,symptom,0
