entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Chảy máu âm đạo,topic,['28'],,,,thường gặp hơn ở ba tháng đầu; không phải lúc nào cũng nghiêm trọng; chảy máu cuối thai kỳ thường nguy hiểm hơn; máu báo thai khi trứng làm tổ; cổ tử cung dễ chảy máu sau quan hệ; Pap test; khám vùng chậu; viêm cổ tử cung; lộ tuyến cổ tử cung; bất thường bánh nhau; dấu hiệu chuyển dạ sinh non,,,,chảy máu âm đạo khi mang thai có thể xảy ra ở đầu hoặc cuối thai kỳ,,,
Thời điểm xét nghiệm mang gen bệnh,topic,['10'],,,,,Xét nghiệm chẩn đoán trẻ dị tật bẩm sinh,,,,,,
Tân sinh trong biểu mô âm hộ,disease,['101'],,ngứa; rát; da bất thường; sần sùi; trơn láng; trắng; nâu,phẫu thuật; kem bôi; laser,,,,,,,,
Hội chứng tam nhiễm sắc thể 18,disease,['47'],,chậm phát triển trí tuệ nặng,,thừa một nhiễm sắc thể 18,,,,,,,tử vong cho trẻ
Phương pháp tránh thai tự nhiên,topic,[],,,,,Phương pháp theo dõi nhiệt độ cơ thể; Phương pháp theo dõi dịch nhầy cổ tử cung; Phương pháp nhiệt chứng; Phương pháp theo dõi lịch,là cách tránh thai dựa trên việc tính thời điểm quan hệ theo chu kỳ kinh nguyệt của phụ nữ,,hiệu quả thấp hơn các biện pháp khác: cứ 4 phụ nữ sử dụng thì 1 người có thai; không phải một phương pháp đơn lẻ mà bao gồm nhiều phương pháp khác nhau,,không thích hợp với phụ nữ không nên mang thai do sức khỏe,
móng tay chân mọc nhanh hơn hoặc dễ gãy,symptom,[],,,,,,,,thường trở lại bình thường sau 6 tháng sau sinh; tóc mọc lại sau 3–6 tháng,,,
Hcg,topic,[],,,,,,hormone do nhau thai sản xuất,,,,,
Nuôi con bằng sữa mẹ,topic,[],,,,,,,,,,một cách dễ dàng để uống đủ nước là phải có một ly nước bất cứ nơi nào; phòng khám hoặc bệnh viện chuyên về nuôi con bằng sữa mẹ có thể tư vấn cho bạn làm thế nào để xử trí với bất kỳ vấn đề nuôi con bằng sữa mẹ; gọi bác sĩ nếu điều này xảy ra; tiếp tục cho con bú hoặc hút sữa vào bình để cho bé bú; bạn cần uống nhiều nước trong lúc này,
Teo âm đạo,disease,['254'],,ngứa; rát; đau khi quan hệ; đau; nóng rát; đau nhức; đi tiểu thường xuyên; chảy máu; tiết dịch bất thường; khó chịu; khô; dễ nhiễm trùng; nứt; khô âm đạo; thành âm đạo mỏng đi; âm đạo khô; âm đạo viêm; rát âm đạo; tiết dịch âm đạo; ngứa bộ phận sinh dục; nóng rát khi đi tiểu; tiểu gấp; nhiễm trùng đường tiết niệu tái phát; tiểu không tự chủ; chảy máu nhẹ sau khi quan hệ; khó chịu khi giao hợp; giảm chất bôi trơn âm đạo khi quan hệ tình dục; thu ngắn và thắt chặt ống âm đạo; chảy máu âm đạo không rõ nguyên nhân; các mô âm đạo mỏng hơn; các mô âm đạo khô hơn; các mô âm đạo kém đàn hồi; các mô âm đạo dễ vỡ hơn,thuốc estrogen bôi da; thuốc estrogen đặt âm đạo; điều trị bằng estrogen (kem bôi hoặc thuốc uống); kết hợp dung dịch bôi trơn,giảm estrogen; hàm lượng estrogen trong cơ thể thấp; nồng độ estrogen giảm; sự giảm sản xuất estrogen; sự sụt giảm nồng độ estrogen,,,,không sinh qua đường âm đạo (phụ nữ chưa bao giờ sinh con qua đường âm đạo có nhiều khả năng phát triển các triệu chứng gsm hơn); không có hoạt động tình dục (hoạt động tình dục làm tăng lưu lượng máu và làm cho các mô âm đạo đàn hồi hơn),,không phải sống chung với sự khó chịu của gsm; hoạt động tình dục thường xuyên dù có hoặc không có bạn tình đều có thể giúp phụ nữ duy trì các mô âm đạo khỏe mạnh,tiểu gấp; nhiễm trùng âm đạo; tiểu nhiều; cảm giác nóng rát khi đi tiểu; nhiễm trùng đường tiết niệu; rò rỉ nước tiểu
Chăm sóc bản thân,topic,[],lần khám đầu thường vào tuần 6–8; siêu âm được thực hiện để dự đoán ngày sinh; siêu âm được thực hiện để kiểm tra sự phát triển và vị trí thai nhi; các xét nghiệm bổ sung có thể được yêu cầu nếu phát hiện nguy cơ bệnh lý,nghẹt mũi; mệt mỏi; táo bón; tiểu nhiều; chuột rút; ợ nóng; ốm nghén; trĩ; suy tĩnh mạch; nhiễm nấm; phù; thay đổi da,,,,,,chăm sóc trước sinh rất quan trọng; việc này giúp đảm bảo cho bạn và em bé có được sức khỏe tốt nhất; phụ nữ mang thai thường cần tăng 10–14kg,bổ sung 1mg axit folic/ngày để phòng ngừa dị tật ống thần kinh; nên uống từ trước khi mang thai; có thể dùng viên đa sinh tố theo chỉ định bác sĩ,nghỉ ngơi; hãy làm theo hướng dẫn đơn giản; khám thai đều đặn; tham khảo bác sĩ về mức cân nặng phù hợp; ăn ít nhất 4 khẩu phần sữa mỗi ngày để bổ sung canxi; giới hạn caffeine tối đa 500ml/ngày; có thể dùng aspartame hoặc sucralose ở mức độ vừa phải; nếu bị PKU không dùng aspartame; tập thể dục ít nhất 30 phút mỗi ngày; tránh thể thao tiếp xúc hoặc hoạt động có nguy cơ té ngã; thay đổi thói quen ăn uống; vệ sinh cá nhân; gọi bác sĩ nếu có chảy máu âm đạo; gọi bác sĩ nếu có sưng phù đột ngột; gọi bác sĩ nếu có đau đầu nghiêm trọng; gọi bác sĩ nếu có nôn ói kéo dài; gọi bác sĩ nếu có chóng mặt; gọi bác sĩ nếu có đau bụng; gọi bác sĩ nếu có sốt; gọi bác sĩ nếu có thay đổi cử động thai; gọi bác sĩ nếu có tiểu ít hoặc rát; không thụt rửa âm đạo vì có nguy cơ thuyên tắc khí và làm mất cân bằng vi khuẩn có lợi; chỉ cần vệ sinh bình thường,một số thuốc có thể gây dị tật bẩm sinh nếu dùng trong 3 tháng đầu
Thời gian thai kì,topic,[],,,,,,,,một thai kì bình thường kéo dài 40 tuần; trẻ sinh sớm hơn vài tuần – giữa tuần 37 và 39 – cũng khỏe mạnh như những đứa trẻ sinh sau 39 tuần; chuyên gia bây giờ đã khám phá ra rằng trẻ em luôn phát triển suốt cả 40 tuần,,,
