entity_name,entity_type,article_ids,application,symptom,treatment,cause,subtopic,definition,subdisease,detail,prevention,advice,complication
Phương pháp tránh thai tự nhiên,topic,[],,,,,Phương pháp theo dõi nhiệt độ cơ thể; Phương pháp theo dõi dịch nhầy cổ tử cung; Phương pháp nhiệt chứng; Phương pháp theo dõi lịch,là cách tránh thai dựa trên việc tính thời điểm quan hệ theo chu kỳ kinh nguyệt của phụ nữ,,hiệu quả thấp hơn các biện pháp khác: cứ 4 phụ nữ sử dụng thì 1 người có thai; không phải một phương pháp đơn lẻ mà bao gồm nhiều phương pháp khác nhau,,không thích hợp với phụ nữ không nên mang thai do sức khỏe,
móng tay chân mọc nhanh hơn hoặc dễ gãy,symptom,[],,,,,,,,thường trở lại bình thường sau 6 tháng sau sinh; tóc mọc lại sau 3–6 tháng,,,
Hcg,topic,[],,,,,,hormone do nhau thai sản xuất,,,,,
Nuôi con bằng sữa mẹ,topic,[],,,,,,,,,,một cách dễ dàng để uống đủ nước là phải có một ly nước bất cứ nơi nào; phòng khám hoặc bệnh viện chuyên về nuôi con bằng sữa mẹ có thể tư vấn cho bạn làm thế nào để xử trí với bất kỳ vấn đề nuôi con bằng sữa mẹ; gọi bác sĩ nếu điều này xảy ra; tiếp tục cho con bú hoặc hút sữa vào bình để cho bé bú; bạn cần uống nhiều nước trong lúc này,
Chăm sóc bản thân,topic,[],lần khám đầu thường vào tuần 6–8; siêu âm được thực hiện để dự đoán ngày sinh; siêu âm được thực hiện để kiểm tra sự phát triển và vị trí thai nhi; các xét nghiệm bổ sung có thể được yêu cầu nếu phát hiện nguy cơ bệnh lý,nghẹt mũi; mệt mỏi; táo bón; tiểu nhiều; chuột rút; ợ nóng; ốm nghén; trĩ; suy tĩnh mạch; nhiễm nấm; phù; thay đổi da,,,,,,chăm sóc trước sinh rất quan trọng; việc này giúp đảm bảo cho bạn và em bé có được sức khỏe tốt nhất; phụ nữ mang thai thường cần tăng 10–14kg,bổ sung 1mg axit folic/ngày để phòng ngừa dị tật ống thần kinh; nên uống từ trước khi mang thai; có thể dùng viên đa sinh tố theo chỉ định bác sĩ,nghỉ ngơi; hãy làm theo hướng dẫn đơn giản; khám thai đều đặn; tham khảo bác sĩ về mức cân nặng phù hợp; ăn ít nhất 4 khẩu phần sữa mỗi ngày để bổ sung canxi; giới hạn caffeine tối đa 500ml/ngày; có thể dùng aspartame hoặc sucralose ở mức độ vừa phải; nếu bị PKU không dùng aspartame; tập thể dục ít nhất 30 phút mỗi ngày; tránh thể thao tiếp xúc hoặc hoạt động có nguy cơ té ngã; thay đổi thói quen ăn uống; vệ sinh cá nhân; gọi bác sĩ nếu có chảy máu âm đạo; gọi bác sĩ nếu có sưng phù đột ngột; gọi bác sĩ nếu có đau đầu nghiêm trọng; gọi bác sĩ nếu có nôn ói kéo dài; gọi bác sĩ nếu có chóng mặt; gọi bác sĩ nếu có đau bụng; gọi bác sĩ nếu có sốt; gọi bác sĩ nếu có thay đổi cử động thai; gọi bác sĩ nếu có tiểu ít hoặc rát; không thụt rửa âm đạo vì có nguy cơ thuyên tắc khí và làm mất cân bằng vi khuẩn có lợi; chỉ cần vệ sinh bình thường,một số thuốc có thể gây dị tật bẩm sinh nếu dùng trong 3 tháng đầu
Thời gian thai kì,topic,[],,,,,,,,một thai kì bình thường kéo dài 40 tuần; trẻ sinh sớm hơn vài tuần – giữa tuần 37 và 39 – cũng khỏe mạnh như những đứa trẻ sinh sau 39 tuần; chuyên gia bây giờ đã khám phá ra rằng trẻ em luôn phát triển suốt cả 40 tuần,,,
Magnesium,topic,[],vai trò của magnesium trong thai kỳ: nhu cầu magnesium tăng khi mang thai; giữ cơ tử cung không co trước tuần 35; giảm nguy cơ loãng xương; giảm chuột rút; giảm căng thẳng và mất ngủ; hỗ trợ sinh đẻ nhẹ nhàng; giảm buồn nôn; điều trị đau nửa đầu; giảm nguy cơ bại não khi bổ sung Magnesium sulfat cho thai phụ nguy cơ sinh non; bổ sung magnesium giúp phát triển bào thai; bổ sung magnesium cải thiện tuần hoàn bào thai; bổ sung magnesium giúp trẻ sơ sinh có chu kỳ giấc ngủ tốt hơn; dạng viên uống để nhuận tràng,mệt mỏi; buồn nôn; nôn; đau đầu; đỏ da; nhồi máu cơ tim; dịch trong phổi; buồn ngủ; thở chậm; yếu cơ; giảm nồng độ canxi; các vấn đề về xương; các vấn đề hô hấp; khô môi; nhìn đôi; nói lắp; đổ mồ hôi nhiều,,,,,,,,cần bổ sung qua thực phẩm giàu magnesium và theo chỉ định bác sĩ; lên thực đơn dựa trên các thực phẩm này để cung cấp đủ magnesium; thai phụ chỉ nên bổ sung nếu chế độ ăn không cung cấp đủ; không tự ý dùng thuốc; chỉ dùng theo chỉ định bác sĩ; không khuyến cáo 3 tháng đầu thai kỳ; kiểm tra tất cả các chất bổ sung magnesium để không vượt quá giới hạn khuyến cáo hàng ngày,bại não do sinh rất non; thiếu magnesium có thể dẫn tới tiền sản giật; thiếu magnesium có thể dẫn tới sinh non; thiếu magnesium có thể dẫn tới tử vong sơ sinh; thiếu magnesium có thể dẫn tới dị tật bẩm sinh; tác dụng phụ nếu dùng dài: suy hô hấp; tác dụng phụ nếu dùng dài: giảm oxy thai nhi; tác dụng phụ nếu dùng dài: kéo Canxi khỏi mô xương gây gãy xương trẻ sơ sinh
Gbs,topic,[],,,,,,,,,,,gây nhiễm trùng nặng
Ăn kiêng,topic,[],,buồn nôn; nôn; khó tiêu; sốt; táo bón; chóng mặt; đau đầu; nhức đầu; mất nước; kiệt sức; nhiễm toan; tăng cân đột ngột; giảm cân đột ngột; đi tiểu ít; nước tiểu sẫm; hôn mê; giảm cử động thai; dấu hiệu chuyển dạ,,,,,,,,ngủ đủ giấc; uống nhiều nước; luật hồi giáo cho phép bỏ nhịn ăn và bù bằng từ thiện; uống nhiều nước lọc và nước ép trái cây; tránh ăn vội thực phẩm giàu năng lượng khi dạ dày rỗng; ăn 2-3 loại hoa quả giàu đường tự nhiên và khoáng chất; uống sữa và nước dừa; tránh đi bộ đường dài và hoạt động mạnh; chú ý dấu hiệu cơ thể bất thường; tránh đồ ngọt và caffein; ăn nhiều loại thức ăn và đồ uống lành mạnh; trong ramadan dùng bữa suhoor và iftar; hạn chế đồ ngọt; chọn thực phẩm lành mạnh thay thực phẩm chế biến sẵn; xin lời khuyên từ linh mục hoặc trưởng đạo Hồi; thử ăn kiêng 1-2 ngày để đánh giá khả năng duy trì; ăn kiêng gián đoạn như chế độ Daniel có thể thử nếu sức khỏe đủ,ăn kiêng trong thai kỳ có thể ảnh hưởng lâu dài đến em bé; trẻ sơ sinh nhẹ cân do thiếu dinh dưỡng; cơ quan phát triển có thể suy yếu vĩnh viễn; nguy cơ bệnh thận và đái tháo đường típ 2
Xét nghiệm sàng lọc quý i,topic,[],,,,,,,,,,,nguy cơ down; nguy cơ edwards
